Ticker,Class,T,alpha,alpha_se,c_search,lr_exp,p_exp,reject_exp,hl_search,P_search,d_tf,lam_tf,lr_sum,p_sum,reject_longmem,bic_best,aic_best,bic_geometric,bic_searche,bic_tfarch,bic_figarch,sumg_searche,sumg_tfarch,sumg_figarch,hl_spline,sumg_spline,lr_spline_vs_geom,alpha_capped
BNO,Commodity,4035,0.5908938003407239,0.3032260259752484,0.5278092318754792,4.764148093239783,0.0290584365606765,True,5,0.9014235200411064,0.670295982461568,0.0807387802754923,33.08379102924846,4.4135766402368755e-09,True,geometric,figarch,8551.072188719656,8554.54631325105,8555.745628359486,8558.424906584007,6.973219103416031,6.859517793961025,7.676905274553024,6,7.886629835404956,17.007667874097024,False
CORN,Commodity,4030,0.9242247333737376,0.3521027225180657,0.1271865052292372,0.083411373085255,0.7727265711797262,False,8,0.7344861647998968,0.9630260568899784,0.0932721041206269,41.19868357869382,6.875756317174743e-11,True,geometric,geometric,5248.296082852229,5256.449621527205,5256.5075576773,5261.824360111168,10.415921815633824,10.447719403493943,9.530725898566144,11,9.65501523666021,8.985605237126947,False
CPER,Commodity,3666,0.7599617986497551,0.5437564825517699,0.304351154976367,4.823406446049376,0.0280758070683066,True,5,0.99947399024421,2.1130071639872137,0.3584604329311316,133.57557452776564,3.3828791878525275e-31,True,figarch,figarch,6926.415360981686,6929.727594438991,6910.255965693353,6846.465040832728,7.0149819509263205,13.076230417799875,15.259745823307176,6,10.539920115430547,345.70081437035424,False
DBA,Commodity,4892,0.8346041421895679,0.2259964906953203,0.1339255139846927,0.5853471388418257,0.4442240125779254,False,9,0.9104834324699288,0.975458574059168,0.0684471169797196,53.85029769225912,1.081811545774961e-13,True,geometric,figarch,3401.018807318487,3408.875929824865,3409.439168138116,3410.888893399179,13.441685903015571,14.31096511637396,27.93965059921858,15,33.74534960048649,33.316134304029674,False
DBB,Commodity,4892,0.321798034075121,0.1003467582886926,1.2196467583136872,18.58517677333475,1.624790541018926e-05,True,5,0.8938790121141278,0.4013654485892236,0.0139894798534589,11.921495295918248,0.0002774496123466,True,figarch,figarch,6839.451204552174,6829.308497424059,6833.700139686585,6829.212259655804,11.359010875733563,10.402399763160744,18.206105948435265,8,17.093898563531162,29.28221108685011,False
DBC,Commodity,5122,0.3603722495570947,0.1229707192062407,1.0749326494428284,19.67343528743368,9.186964663392191e-06,True,4,0.9048985758596793,0.4439527730956877,0.0225399915786268,22.517256903745874,1.0413211053883152e-06,True,searche,figarch,5747.893655034543,5736.711068963185,5741.668731614381,5739.576305724938,9.969117370341229,9.240542525851048,13.203889926793584,8,13.053690947225467,29.56759002777653,False
GLD,Commodity,5427,0.4973450908818649,0.1506889120077886,0.539985892895238,11.149870795820789,0.0008403752611312,True,6,0.9087326946224128,0.6418621039353933,0.0371635401038736,52.130273283081806,2.596900145231096e-13,True,figarch,figarch,5631.283439478705,5628.685163301018,5635.187790539723,5626.004431970682,11.256385126796356,10.965828507474887,17.48143492543073,8,16.808480903958618,27.48358612374068,False
PALL,Commodity,4134,0.1010634406936204,0.1233858071257073,8.18530455434398,38.51170153877501,5.442638083401287e-10,True,3,0.9257910141340336,0.1114570334114239,0.0080231987167483,3.235669203553698,0.036025430786391,True,tfarch,tfarch,9228.100373237648,9197.852777462602,9196.41874995168,9204.735153394224,6.119766809705523,6.104628474600368,4.832779451871323,2,5.454646039871007,48.13081160724323,False
PPLT,Commodity,4134,0.3146169553024434,0.1797743078386103,1.274296198489561,12.379250044125,0.0004341314879672,True,4,0.94162846439111,0.4154313205600436,0.0157782500665298,9.500545714872716,0.0010270539820383,True,searche,searche,6836.640421242165,6832.525276961768,6833.660082658654,6841.230034100615,11.24078432326748,10.222718667621368,11.427162464246354,5,10.573648392586058,22.244004691787268,False
SLV,Commodity,5065,0.4739874344158739,0.1739484451519882,0.6325026145250604,13.421345395679964,0.0002487772106549,True,5,0.9393007277889333,0.5498471431574604,0.0330952887526335,57.58457360116881,1.6187740889586094e-14,True,searche,searche,10516.32631423323,10511.384044706854,10513.522103267402,10518.076602336105,10.239789723976768,9.565779888952726,10.132573086522427,2,10.163271558591164,22.00946353757172,False
